id,name,expansion,color_identity,weight_hb_99,weight_hb_cmd,weight_sb_99,weight_sb_cmd
50879,"Vorinclex, Voice of Hunger",NPH,G,36,9,36,36
50895,"Ixidor, Reality Sculptor",ONS,U,9,9,9,9
50943,Body Double,PLC,U,27,27,27,27
51273,"Duskmantle, House of Shadow",RAV,UB,0,0,0,0
51307,Ethereal Armor,RTR,W,45,36,45,36
51359,Cyclonic Rift,RTR,U,18,18,18,18
51435,Pack Rat,RTR,B,45,45,45,45
51569,Worldspine Wurm,RTR,G,9,9,9,9
51617,Golgari Charm,RTR,BG,9,9,9,9
51619,Grisly Salvage,RTR,BG,27,27,27,27
51633,Izzet Charm,RTR,UR,9,9,9,9
51683,Slaughter Games,RTR,BR,18,18,18,18
51691,Supreme Verdict,RTR,WU,45,45,45,45
51715,Deathrite Shaman,RTR,BG,18,18,18,18
51725,Judge's Familiar,RTR,WU,9,9,9,9
51789,Plains,RTR,W,0,0,0,0
51799,Island,RTR,U,0,0,0,0
51809,Swamp,RTR,B,0,0,0,0
51819,Mountain,RTR,R,0,0,0,0
51829,Forest,RTR,G,0,0,0,0
52781,"Iona, Shield of Emeria",ZEN,W,0,0,0,0
53309,Borborygmos Enraged,GTC,RG,0,0,0,0
53353,Gruul Charm,GTC,RG,9,9,9,9
53379,"Obzedat, Ghost Council",GTC,WB,18,9,18,240
53385,Orzhov Charm,GTC,WB,9,9,9,9
53405,Simic Charm,GTC,UG,9,9,9,9
53447,Burning-Tree Emissary,GTC,RG,45,45,45,45
53511,Thespian's Stage,GTC,,18,18,18,18
53581,Possibility Storm,DGM,R,9,9,9,9
53741,Voice of Resurgence,DGM,WG,27,18,27,18
53817,Maze's End,DGM,,9,9,9,9
53845,Brave the Elements,M14,W,27,27,27,27
54017,Doom Blade,M14,B,45,45,45,45
54053,Shadowborn Apostle,M14,B,9,9,9,9
54163,Elvish Mystic,M14,G,27,27,27,27
54233,Accorder's Shield,M14,,9,9,9,9
54251,Millstone,M14,,9,9,9,9
54281,Mutavault,M14,,18,6,18,6
54347,Fabled Hero,THS,W,0,0,0,0
54349,Favored Hoplite,THS,W,36,27,36,27
54387,Soldier of the Pantheon,THS,W,27,27,27,27
54395,Wingsteed Rider,THS,W,0,0,0,0
54407,Bident of Thassa,THS,U,0,0,0,0
54453,Swan Song,THS,U,36,36,36,36
54503,Hero's Downfall,THS,B,27,27,27,27
54525,Read the Bones,THS,B,0,0,0,0
54613,Titan's Strength,THS,R,36,27,36,27
54661,Nylea's Presence,THS,G,9,9,9,9
54701,Battlewise Hoplite,THS,WU,9,9,9,9
54769,"Nykthos, Shrine to Nyx",THS,,18,6,18,6
55043,Searing Blood,BNG,R,45,27,45,27
55059,Courser of Kruphix,BNG,G,18,18,18,18
55093,Satyr Wayfinder,BNG,G,27,27,27,27
55133,"Xenagos, God of Revels",BNG,RG,18,360,18,18
55187,Nyx-Fleece Ram,JOU,W,18,18,18,18
55275,Brain Maggot,JOU,B,18,18,18,18
55283,Doomwake Giant,JOU,B,0,0,0,0
55339,Eidolon of the Great Revel,JOU,R,27,18,27,18
55395,Eidolon of Blossoms,JOU,G,27,27,27,27
55457,Nyx Weaver,JOU,BG,9,9,9,9
55477,Mana Confluence,JOU,,0,0,0,0
55621,Baleful Force,C13,B,0,0,0,0
57217,Tribal Flames,MMA,R,27,18,27,18
57281,Tooth and Nail,MMA,G,9,9,9,9
57373,Sword of Fire and Ice,MMA,,18,18,18,18
57507,Ensoul Artifact,M15,U,45,27,45,27
57643,Waste Not,M15,B,18,18,18,18
57721,Shrapnel Blast,M15,R,36,27,36,27
57737,Back to Nature,M15,G,9,9,9,9
57743,Chord of Calling,M15,G,45,27,45,27
57821,Sliver Hivelord,M15,WUBRG,18,9,18,18
57883,Darksteel Citadel,M15,,0,0,0,0
57939,Abzan Battle Priest,KTK,W,9,9,9,9
57941,Abzan Falconer,KTK,W,18,18,18,18
57943,Ainok Bond-Kin,KTK,W,9,9,9,9
57945,Alabaster Kirin,KTK,W,9,9,9,9
57947,Brave the Sands,KTK,W,9,9,9,9
57949,Dazzling Ramparts,KTK,W,9,9,9,9
57951,Defiant Strike,KTK,W,27,18,27,18
57953,End Hostilities,KTK,W,9,9,9,9
57955,Erase,KTK,W,9,9,9,9
57957,Feat of Resistance,KTK,W,18,18,18,18
57959,Firehoof Cavalry,KTK,WR,9,9,9,9
57961,Herald of Anafenza,KTK,W,9,9,9,9
57963,High Sentinels of Arashin,KTK,W,18,18,18,18
57965,Jeskai Student,KTK,W,9,9,9,9
57967,Kill Shot,KTK,W,9,9,9,9
57969,Mardu Hateblade,KTK,WB,9,9,9,9
57971,Mardu Hordechief,KTK,W,9,9,9,9
57973,Master of Pearls,KTK,W,9,9,9,9
57975,Rush of Battle,KTK,W,9,9,9,9
57977,Sage-Eye Harrier,KTK,W,9,9,9,9
57979,Salt Road Patrol,KTK,W,9,9,9,9
57981,Seeker of the Way,KTK,W,18,18,18,18
57983,Siegecraft,KTK,W,9,9,9,9
57985,Smite the Monstrous,KTK,W,9,9,9,9
57987,Suspension Field,KTK,W,9,9,9,9
57989,Take Up Arms,KTK,W,9,9,9,9
57991,Timely Hordemate,KTK,W,9,9,9,9
57993,Venerable Lammasu,KTK,W,9,9,9,9
57995,War Behemoth,KTK,W,9,9,9,9
57997,Watcher of the Roost,KTK,W,9,9,9,9
57999,Wingmate Roc,KTK,W,18,18,18,18
58001,Blinding Spray,KTK,U,9,9,9,9
58003,Cancel,KTK,U,18,18,18,18
58005,Clever Impersonator,KTK,U,18,9,18,9
58007,Crippling Chill,KTK,U,9,9,9,9
58009,Dig Through Time,KTK,U,45,45,45,45
58011,Disdainful Stroke,KTK,U,9,9,9,9
58013,Dragon's Eye Savants,KTK,U,9,9,9,9
58015,Embodiment of Spring,KTK,UG,9,9,9,9
58017,Force Away,KTK,U,9,9,9,9
58019,Glacial Stalker,KTK,U,9,9,9,9
58021,Icy Blast,KTK,U,9,9,9,9
58023,Jeskai Elder,KTK,U,9,9,9,9
58025,Jeskai Windscout,KTK,U,9,9,9,9
58027,Kheru Spellsnatcher,KTK,U,9,9,9,9
58029,Mistfire Weaver,KTK,U,9,9,9,9
58031,Monastery Flock,KTK,U,9,9,9,9
58033,Mystic of the Hidden Way,KTK,U,9,9,9,9
58035,Pearl Lake Ancient,KTK,U,9,9,9,9
58037,Quiet Contemplation,KTK,U,9,9,9,9
58039,Riverwheel Aerialists,KTK,U,9,9,9,9
58041,Scaldkin,KTK,UR,9,9,9,9
58043,Scion of Glaciers,KTK,U,9,9,9,9
58045,Set Adrift,KTK,U,9,9,9,9
58047,Singing Bell Strike,KTK,U,9,9,9,9
58049,Stubborn Denial,KTK,U,27,18,27,18
58051,Taigam's Scheming,KTK,U,9,9,9,9
58053,Thousand Winds,KTK,U,9,9,9,9
58055,Treasure Cruise,KTK,U,45,45,45,45
58057,Waterwhirl,KTK,U,9,9,9,9
58059,Weave Fate,KTK,U,9,9,9,9
58061,Wetland Sambar,KTK,U,9,9,9,9
58063,Whirlwind Adept,KTK,U,9,9,9,9
58065,Bellowing Saddlebrute,KTK,B,9,9,9,9
58067,Bitter Revelation,KTK,B,9,9,9,9
58069,Bloodsoaked Champion,KTK,B,18,18,18,18
58071,Dead Drop,KTK,B,9,9,9,9
58073,Debilitating Injury,KTK,B,9,9,9,9
58075,Despise,KTK,B,9,9,9,9
58077,Disowned Ancestor,KTK,B,9,9,9,9
58079,Dutiful Return,KTK,B,9,9,9,9
58081,Empty the Pits,KTK,B,9,9,9,9
58083,Grim Haruspex,KTK,B,9,9,9,9
58085,Gurmag Swiftwing,KTK,B,9,9,9,9
58087,Kheru Bloodsucker,KTK,B,9,9,9,9
58089,Kheru Dreadmaw,KTK,BG,9,9,9,9
58091,Krumar Bond-Kin,KTK,B,9,9,9,9
58093,Mardu Skullhunter,KTK,B,9,9,9,9
58095,Mer-Ek Nightblade,KTK,B,9,9,9,9
58097,Molting Snakeskin,KTK,B,9,9,9,9
58099,Murderous Cut,KTK,B,18,18,18,18
58101,Necropolis Fiend,KTK,B,9,9,9,9
58103,Raiders' Spoils,KTK,B,9,9,9,9
58105,Rakshasa's Secret,KTK,B,9,9,9,9
58107,Retribution of the Ancients,KTK,B,9,9,9,9
58109,Rite of the Serpent,KTK,B,9,9,9,9
58111,Rotting Mastodon,KTK,B,9,9,9,9
58113,Ruthless Ripper,KTK,B,9,9,9,9
58115,Shambling Attendants,KTK,B,9,9,9,9
58117,Sidisi's Pet,KTK,B,9,9,9,9
58119,Sultai Scavenger,KTK,B,9,9,9,9
58121,Swarm of Bloodflies,KTK,B,9,9,9,9
58123,Throttle,KTK,B,9,9,9,9
58125,Unyielding Krumar,KTK,WB,9,9,9,9
58127,Act of Treason,KTK,R,9,6,9,6
58129,Ainok Tracker,KTK,R,9,9,9,9
58131,Arc Lightning,KTK,R,9,9,9,9
58133,Arrow Storm,KTK,R,9,9,9,9
58135,Ashcloud Phoenix,KTK,R,9,9,9,9
58137,Barrage of Boulders,KTK,R,9,9,9,9
58139,Bloodfire Expert,KTK,R,9,9,9,9
58141,Bloodfire Mentor,KTK,UR,9,9,9,9
58143,Bring Low,KTK,R,9,9,9,9
58145,Burn Away,KTK,R,9,9,9,9
58147,Canyon Lurkers,KTK,R,9,9,9,9
58149,Crater's Claws,KTK,R,9,9,9,9
58151,Dragon Grip,KTK,R,9,9,9,9
58153,Dragon-Style Twins,KTK,R,9,9,9,9
58155,Goblinslide,KTK,R,9,9,9,9
58157,Horde Ambusher,KTK,R,9,9,9,9
58159,Hordeling Outburst,KTK,R,9,9,9,9
58161,Howl of the Horde,KTK,R,9,9,9,9
58163,Jeering Instigator,KTK,R,9,9,9,9
58165,Leaping Master,KTK,WR,9,9,9,9
58167,Mardu Blazebringer,KTK,R,9,9,9,9
58169,Mardu Heart-Piercer,KTK,R,9,9,9,9
58171,Mardu Warshrieker,KTK,WBR,9,9,9,9
58173,Monastery Swiftspear,KTK,R,45,36,45,36
58175,"Sarkhan, the Dragonspeaker",KTK,R,18,9,18,9
58177,Shatter,KTK,R,9,6,9,6
58179,Summit Prowler,KTK,R,9,9,9,9
58181,Swift Kick,KTK,R,9,9,9,9
58183,Tormenting Voice,KTK,R,9,9,9,9
58185,Trumpet Blast,KTK,R,9,9,9,9
58187,Valley Dasher,KTK,R,9,9,9,9
58189,War-Name Aspirant,KTK,R,9,9,9,9
58191,Alpine Grizzly,KTK,G,9,9,9,9
58193,Archers' Parapet,KTK,BG,9,9,9,9
58195,Awaken the Bear,KTK,G,9,9,9,9
58197,Become Immense,KTK,G,18,18,18,18
58199,Dragonscale Boon,KTK,G,9,9,9,9
58201,Feed the Clan,KTK,G,9,9,9,9
58203,Hardened Scales,KTK,G,45,45,45,45
58205,Heir of the Wilds,KTK,G,9,9,9,9
58207,Highland Game,KTK,G,6,6,6,6
58209,Hooded Hydra,KTK,G,9,9,9,9
58211,Hooting Mandrills,KTK,G,9,9,9,9
58213,Incremental Growth,KTK,G,9,9,9,9
58215,Kin-Tree Warden,KTK,G,9,9,9,9
58217,Longshot Squad,KTK,G,9,9,9,9
58219,Meandering Towershell,KTK,G,9,9,9,9
58221,Naturalize,KTK,G,9,6,9,6
58223,Pine Walker,KTK,G,9,9,9,9
58225,Rattleclaw Mystic,KTK,URG,9,9,9,9
58227,Roar of Challenge,KTK,G,9,9,9,9
58229,Sagu Archer,KTK,G,9,9,9,9
58231,Savage Punch,KTK,G,9,9,9,9
58233,Scout the Borders,KTK,G,9,9,9,9
58235,See the Unwritten,KTK,G,9,9,9,9
58237,Seek the Horizon,KTK,G,9,9,9,9
58239,Smoke Teller,KTK,UG,9,9,9,9
58241,Sultai Flayer,KTK,G,9,9,9,9
58243,Temur Charger,KTK,G,9,9,9,9
58245,Trail of Mystery,KTK,G,9,9,9,9
58247,Tusked Colossodon,KTK,G,9,9,9,9
58249,Tuskguard Captain,KTK,G,9,9,9,9
58251,Windstorm,KTK,G,9,9,9,9
58253,Woolly Loxodon,KTK,G,9,9,9,9
58255,Abomination of Gudul,KTK,UBG,9,9,9,9
58257,Abzan Ascendancy,KTK,WBG,9,9,9,9
58259,Abzan Charm,KTK,WBG,9,9,9,9
58261,Abzan Guide,KTK,WBG,9,9,9,9
58263,"Anafenza, the Foremost",KTK,WBG,9,9,9,9
58265,Ankle Shanker,KTK,WBR,9,9,9,9
58267,Armament Corps,KTK,WBG,9,9,9,9
58269,Avalanche Tusker,KTK,URG,9,9,9,9
58271,Bear's Companion,KTK,URG,9,9,9,9
58273,Butcher of the Horde,KTK,WBR,9,9,9,9
58275,Chief of the Edge,KTK,WB,9,9,9,9
58277,Chief of the Scale,KTK,WB,9,9,9,9
58279,Crackling Doom,KTK,WBR,18,18,18,18
58281,Death Frenzy,KTK,BG,9,9,9,9
58283,Deflecting Palm,KTK,WR,18,18,18,18
58285,Duneblast,KTK,WBG,9,9,9,9
58287,Efreet Weaponmaster,KTK,WUR,9,9,9,9
58289,Flying Crane Technique,KTK,WUR,9,9,9,9
58291,Highspire Mantis,KTK,WR,9,9,9,9
58293,Icefeather Aven,KTK,UG,9,9,9,9
58295,Ivorytusk Fortress,KTK,WBG,9,9,9,9
58297,Jeskai Ascendancy,KTK,WUR,27,27,27,27
58299,Jeskai Charm,KTK,WUR,9,9,9,9
58301,Kheru Lich Lord,KTK,UBG,9,9,9,9
58303,Kin-Tree Invocation,KTK,BG,9,9,9,9
58305,Mantis Rider,KTK,WUR,18,18,18,18
58307,Mardu Ascendancy,KTK,WBR,9,9,9,9
58309,Mardu Charm,KTK,WBR,9,9,9,9
58311,Mardu Roughrider,KTK,WBR,9,9,9,9
58313,Master the Way,KTK,UR,9,9,9,9
58315,Mindswipe,KTK,UR,9,9,9,9
58317,"Narset, Enlightened Master",KTK,WUR,9,360,9,360
58319,Ponyback Brigade,KTK,WBR,9,9,9,9
58321,Rakshasa Deathdealer,KTK,BG,9,9,9,9
58323,Rakshasa Vizier,KTK,UBG,9,9,9,9
58325,Ride Down,KTK,WR,9,6,9,6
58327,Sage of the Inward Eye,KTK,WUR,9,9,9,9
58329,Sagu Mauler,KTK,UG,9,9,9,9
58331,Savage Knuckleblade,KTK,URG,9,9,9,9
58333,Secret Plans,KTK,UG,9,9,9,9
58335,"Sidisi, Brood Tyrant",KTK,UBG,9,9,9,9
58337,Siege Rhino,KTK,WBG,27,27,27,27
58339,Snowhorn Rider,KTK,URG,9,9,9,9
58341,"Sorin, Solemn Visitor",KTK,WB,9,9,9,9
58343,Sultai Ascendancy,KTK,UBG,9,9,9,9
58345,Sultai Charm,KTK,UBG,9,9,9,9
58347,Sultai Soothsayer,KTK,UBG,9,9,9,9
58349,Surrak Dragonclaw,KTK,URG,9,9,9,9
58351,Temur Ascendancy,KTK,URG,9,9,9,9
58353,Temur Charm,KTK,URG,9,9,9,9
58355,Trap Essence,KTK,URG,9,9,9,9
58357,Utter End,KTK,WB,9,9,9,9
58359,Villainous Wealth,KTK,UBG,9,9,9,9
58361,Warden of the Eye,KTK,WUR,9,9,9,9
58363,Winterflame,KTK,UR,9,9,9,9
58365,Zurgo Helmsmasher,KTK,WBR,9,9,9,9
58367,Abzan Banner,KTK,WBG,9,9,9,9
58369,Altar of the Brood,KTK,,9,9,9,9
58371,Briber's Purse,KTK,,9,9,9,9
58373,Cranial Archive,KTK,,9,9,9,9
58375,Dragon Throne of Tarkir,KTK,,9,9,9,9
58377,Ghostfire Blade,KTK,,9,9,9,9
58379,Heart-Piercer Bow,KTK,,9,9,9,9
58381,Jeskai Banner,KTK,WUR,9,9,9,9
58383,Lens of Clarity,KTK,,9,9,9,9
58385,Mardu Banner,KTK,WBR,9,9,9,9
58387,Sultai Banner,KTK,UBG,9,9,9,9
58389,Temur Banner,KTK,URG,9,9,9,9
58391,Ugin's Nexus,KTK,,9,9,9,9
58393,Witness of the Ages,KTK,,9,9,9,9
58395,Bloodfell Caves,KTK,BR,0,0,0,0
58397,Bloodstained Mire,KTK,,0,0,0,0
58399,Blossoming Sands,KTK,WG,0,0,0,0
58401,Dismal Backwater,KTK,UB,0,0,0,0
58403,Flooded Strand,KTK,,0,0,0,0
58405,Frontier Bivouac,KTK,URG,0,0,0,0
58407,Jungle Hollow,KTK,BG,0,0,0,0
58409,Mystic Monastery,KTK,WUR,0,0,0,0
58411,Nomad Outpost,KTK,WBR,0,0,0,0
58413,Opulent Palace,KTK,UBG,0,0,0,0
58415,Polluted Delta,KTK,,0,0,0,0
58417,Rugged Highlands,KTK,RG,0,0,0,0
58419,Sandsteppe Citadel,KTK,WBG,0,0,0,0
58421,Scoured Barrens,KTK,WB,0,0,0,0
58423,Swiftwater Cliffs,KTK,UR,0,0,0,0
58425,Thornwood Falls,KTK,UG,0,0,0,0
58427,Tomb of the Spirit Dragon,KTK,,0,0,0,0
58429,Tranquil Cove,KTK,WU,0,0,0,0
58431,Wind-Scarred Crag,KTK,WR,0,0,0,0
58433,Windswept Heath,KTK,,0,0,0,0
58435,Wooded Foothills,KTK,,0,0,0,0
58437,Plains,KTK,W,0,0,0,0
58439,Plains,KTK,W,0,0,0,0
58441,Island,KTK,U,0,0,0,0
58443,Island,KTK,U,0,0,0,0
58445,Swamp,KTK,B,0,0,0,0
58447,Swamp,KTK,B,0,0,0,0
58449,Mountain,KTK,R,0,0,0,0
58451,Mountain,KTK,R,0,0,0,0
58453,Forest,KTK,G,0,0,0,0
58455,Forest,KTK,G,0,0,0,0
59193,Rally the Ancestors,FRF,W,27,27,27,27
59329,"Alesha, Who Smiles at Death",FRF,WBR,18,-360,18,9
59381,Temur Battle Rage,FRF,R,36,36,36,36
59671,Ancestral Recall,VMA,U,0,0,0,0
59677,Black Lotus,VMA,,0,0,0,0
59681,Mox Jet,VMA,B,0,0,0,0
59683,Mox Pearl,VMA,W,0,0,0,0
59687,Mox Sapphire,VMA,U,0,0,0,0
59771,Swords to Plowshares,VMA,W,45,45,45,45
59795,Control Magic,VMA,U,0,0,0,0
60235,Sol Ring,VMA,,0,0,0,0
60315,Underground Sea,VMA,UB,0,0,0,0
60783,Virulent Plague,DTK,B,9,9,9,9
60833,Rending Volley,DTK,R,0,0,0,0
60959,Atarka's Command,DTK,RG,45,45,45,45
60975,Dromoka's Command,DTK,WG,45,45,45,45
60981,Kolaghan's Command,DTK,BR,45,45,45,45
60987,Ojutai's Command,DTK,WU,27,27,27,27
60997,Silumgar's Command,DTK,UB,36,36,36,36
61231,Whirler Rogue,ORI,U,36,36,36,36
61307,Tainted Remedy,ORI,B,9,9,9,9
61321,Abbot of Keral Keep,ORI,R,27,27,27,27
61359,Fiery Impulse,ORI,R,9,9,9,9
61419,Elvish Visionary,ORI,G,36,36,36,36
61421,Evolutionary Leap,ORI,G,9,9,9,9
61505,Shaman of the Pack,ORI,BG,36,27,36,27
61529,Hangarback Walker,ORI,,36,36,36,36
61641,Scour from Existence,BFZ,,0,0,0,0
61645,"Ulamog, the Ceaseless Hunger",BFZ,,45,-360,45,45
61767,Dispel,BFZ,U,9,9,9,9
61867,Zulaport Cutthroat,BFZ,B,18,18,18,18
61999,Sylvan Scrying,BFZ,G,18,18,18,18
62049,"Omnath, Locus of Rage",BFZ,RG,9,9,9,9
62083,Canopy Vista,BFZ,WG,0,0,0,0
62085,Cinder Glade,BFZ,RG,0,0,0,0
62097,Prairie Stream,BFZ,WU,0,0,0,0
62109,Smoldering Marsh,BFZ,BR,0,0,0,0
62113,Sunken Hollow,BFZ,UB,0,0,0,0
62115,Plains,BFZ,W,0,0,0,0
62125,Island,BFZ,U,0,0,0,0
